History file written by the McStas component Union_master 
When running with MPI, the results may be from just a single thread, meaning intensities are divided by number of threads
----- Description of the used volumes -----------------------------------------------------------------------------------
V0: Surrounding vacuum 
V1: Sample  Material: Ni   P0: Ni_Incoherent P1: Ni_Phonon P2: Ni_Single_crystal
----- Histories sorted after intensity ----------------------------------------------------------------------------------
23	 N I=4.760525E-03 	 V0 -> V1 -> P0 -> P2 -> P0 -> V0 
24	 N I=3.185298E-03 	 V0 -> V1 -> P2 -> P2 -> P0 -> P2 -> V0 
48	 N I=2.996235E-03 	 V0 -> V1 -> P1 -> P2 -> P0 -> V0 
21	 N I=2.937046E-03 	 V0 -> V1 -> P0 -> P2 -> P2 -> P2 -> V0 
19	 N I=1.569660E-03 	 V0 -> V1 -> P1 -> P0 -> P2 -> V0 
137	 N I=1.530820E-03 	 V0 -> V1 -> P0 -> P1 -> V0 
25	 N I=1.388158E-03 	 V0 -> V1 -> P2 -> P0 -> P2 -> P2 -> V0 
27	 N I=1.353174E-03 	 V0 -> V1 -> P1 -> P2 -> P2 -> P2 -> V0 
32	 N I=9.718545E-04 	 V0 -> V1 -> P2 -> P1 -> P0 -> V0 
43	 N I=7.778748E-04 	 V0 -> V1 -> P1 -> P2 -> P1 -> V0 
22	 N I=5.382679E-04 	 V0 -> V1 -> P2 -> P1 -> P2 -> P2 -> V0 
25	 N I=5.362232E-04 	 V0 -> V1 -> P2 -> P2 -> P1 -> P2 -> V0 
29	 N I=5.135514E-04 	 V0 -> V1 -> P2 -> P2 -> P2 -> P1 -> V0 
9	 N I=4.207352E-04 	 V0 -> V1 -> P0 -> P0 -> P0 -> V0 
29	 N I=4.195207E-04 	 V0 -> V1 -> P0 -> P2 -> P1 -> V0 
14	 N I=2.895685E-04 	 V0 -> V1 -> P2 -> P2 -> P0 -> P0 -> V0 
129	 N I=2.652347E-04 	 V0 -> V1 -> P1 -> P1 -> V0 
18	 N I=1.224551E-04 	 V0 -> V1 -> P1 -> P0 -> P0 -> V0 
8	 N I=1.186161E-04 	 V0 -> V1 -> P2 -> P0 -> P2 -> P0 -> V0 
6	 N I=1.069539E-04 	 V0 -> V1 -> P0 -> P2 -> P2 -> P2 -> P2 -> V0 
9	 N I=8.204577E-05 	 V0 -> V1 -> P0 -> P0 -> P2 -> P2 -> V0 
9	 N I=5.955219E-05 	 V0 -> V1 -> P2 -> P2 -> P2 -> P2 -> P0 -> V0 
11	 N I=5.110895E-05 	 V0 -> V1 -> P2 -> P2 -> P2 -> P2 -> P1 -> V0 
6	 N I=4.175399E-05 	 V0 -> V1 -> P0 -> P2 -> P2 -> P0 -> V0 
11	 N I=3.595945E-05 	 V0 -> V1 -> P1 -> P2 -> P2 -> P0 -> V0 
6	 N I=1.789917E-05 	 V0 -> V1 -> P2 -> P0 -> P0 -> P2 -> V0 
11	 N I=1.766972E-05 	 V0 -> V1 -> P2 -> P2 -> P1 -> P0 -> V0 
8	 N I=1.668413E-05 	 V0 -> V1 -> P2 -> P2 -> P1 -> P2 -> P2 -> V0 
6	 N I=1.615700E-05 	 V0 -> V1 -> P0 -> P2 -> P0 -> P2 -> V0 
